epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11.6109,3.10544,4.04492,0,4.49507,5.50419,0,0,0,0,0.00056,0.17308,0.00034,5e-05,4.95364,4.56274,0,5.12711,5.67036,0.00065,0.00065,0.00065
2,20.133,2.58209,3.22613,0,3.08042,3.87221,0,0,0,0,0.00013,0.03077,8e-05,1e-05,4.91742,4.52725,0,4.20992,5.72,0.00131341,0.00131341,0.00131341
3,28.2605,2.27567,2.87093,0,2.44567,3.30557,0,0,0,0,0,0,0,0,4.98865,4.3252,0,4.22172,5.79758,0.00197352,0.00197352,0.00197352
4,36.7106,2.09097,2.40658,0,1.92021,3.08762,0.16262,0.39038,0.14934,0.04924,0.33448,0.50192,0.2836,0.06595,2.26107,3.13912,0,2.57896,3.28716,0.00198515,0.00198515,0.00198515
5,44.9179,1.91924,2.13953,0,1.70334,2.85494,0.49503,0.79615,0.55522,0.2052,0.66738,0.71382,0.73999,0.27807,1.88861,2.26948,0,1.73766,2.75819,0.0019802,0.0019802,0.0019802
6,53.2011,1.83289,1.7756,0,1.5761,2.7352,0.51508,0.78269,0.55293,0.19802,0.77583,0.86731,0.87132,0.44318,1.93491,1.78959,0,1.7979,2.86551,0.00197525,0.00197525,0.00197525
7,61.8243,1.78656,1.34272,0,1.45926,2.69257,0.69539,0.82537,0.77742,0.29541,0.79773,0.89808,0.91387,0.7162,1.78134,0.93292,0,1.433,2.64713,0.0019703,0.0019703,0.0019703
8,70.302,1.71044,1.04041,0,1.4094,2.6274,0.77587,0.83654,0.85947,0.38826,0.83267,0.88269,0.92421,0.7666,1.60056,0.59795,0,1.26677,2.41611,0.00196535,0.00196535,0.00196535
9,78.8571,1.63954,0.87495,0,1.3361,2.51443,0.47425,0.83077,0.54658,0.18399,0.89618,0.90962,0.9371,0.74415,1.91501,0.58009,0,1.81544,2.77229,0.0019604,0.0019604,0.0019604
10,87.4782,1.64573,0.8558,0,1.31999,2.47599,0.78477,0.8765,0.88222,0.42024,0.84196,0.93234,0.94064,0.82139,1.52311,0.53325,0,1.12868,2.33502,0.00195545,0.00195545,0.00195545
11,96.1983,1.61343,0.74694,0,1.27276,2.47147,0.77893,0.90769,0.85065,0.32396,0.85458,0.93804,0.94567,0.86307,1.79218,0.48888,0,1.29912,2.62412,0.0019505,0.0019505,0.0019505
12,104.812,1.55983,0.7036,0,1.25146,2.403,0.81936,0.87229,0.8505,0.37434,0.90221,0.94808,0.96446,0.83061,1.60951,0.3935,0,1.33432,2.42106,0.00194555,0.00194555,0.00194555
13,113.385,1.54959,0.67683,0,1.28099,2.42277,0.7174,0.85922,0.81519,0.32897,0.89924,0.94038,0.9594,0.88096,1.77376,0.35062,0,1.27584,2.59312,0.0019406,0.0019406,0.0019406
14,122.007,1.54433,0.59252,0,1.23108,2.43798,0.61839,0.83515,0.67437,0.24995,0.89821,0.96538,0.96588,0.92089,1.81363,0.337,0,1.51118,2.60777,0.00193565,0.00193565,0.00193565
15,130.627,1.49721,0.54165,0,1.21577,2.3713,0.61101,0.84038,0.72481,0.25363,0.94361,0.96538,0.9773,0.92682,2.08073,0.312,0,1.47338,2.99112,0.0019307,0.0019307,0.0019307
16,139.127,1.511,0.54107,0,1.21171,2.36928,0.78016,0.80385,0.80802,0.31943,0.95218,0.97692,0.97827,0.94453,1.80255,0.28829,0,1.46691,2.62161,0.00192575,0.00192575,0.00192575
17,147.798,1.48149,0.54421,0,1.21868,2.33487,0.89196,0.92692,0.95283,0.44514,0.93267,0.96923,0.97876,0.93216,1.58275,0.28478,0,1.17388,2.36131,0.0019208,0.0019208,0.0019208
18,156.385,1.49381,0.53776,0,1.13909,2.37855,0.70625,0.79615,0.70832,0.28435,0.94758,0.9733,0.98017,0.92914,1.8194,0.3184,0,1.44565,2.65022,0.00191585,0.00191585,0.00191585
19,165.063,1.46665,0.50394,0,1.09999,2.32875,0.83693,0.86856,0.83438,0.36379,0.95707,0.98602,0.97774,0.91725,1.66485,0.31108,0,1.17708,2.48285,0.0019109,0.0019109,0.0019109
20,173.665,1.46723,0.48748,0,1.05789,2.33438,0.93692,0.96154,0.97164,0.60547,0.94127,0.96538,0.9736,0.93616,1.34646,0.22999,0,0.87211,2.1046,0.00190595,0.00190595,0.00190595
21,182.348,1.46543,0.45931,0,1.0423,2.34661,0.93256,0.95385,0.96988,0.56378,0.93455,0.96346,0.97284,0.9256,1.43058,0.27555,0,0.88255,2.20745,0.001901,0.001901,0.001901
22,190.952,1.46115,0.45961,0,0.99609,2.31699,0.88451,0.91314,0.90095,0.32743,0.96465,0.99697,0.9822,0.94142,2.04535,0.23909,0,1.27961,3.03674,0.00189605,0.00189605,0.00189605
23,199.64,1.44294,0.44706,0,0.99391,2.29995,0.82389,0.89038,0.91292,0.51773,0.82374,0.89615,0.92017,0.85241,1.58087,0.41763,0,1.07983,2.31811,0.0018911,0.0018911,0.0018911
24,208.132,1.42718,0.42752,0,0.96689,2.27148,0.91097,0.96414,0.96422,0.47358,0.91823,0.97183,0.97049,0.92046,1.7447,0.29811,0,0.92707,2.4568,0.00188615,0.00188615,0.00188615
25,216.85,1.43658,0.4646,0,0.89443,2.29084,0.96961,0.98846,0.97215,0.55067,0.97715,0.99615,0.98124,0.95387,1.46991,0.18083,0,0.76843,2.22838,0.0018812,0.0018812,0.0018812
26,225.413,1.42062,0.38997,0,0.88753,2.28766,0.96464,0.99038,0.98153,0.60954,0.96464,0.99038,0.98153,0.94696,1.33037,0.21145,0,0.75126,2.08331,0.00187625,0.00187625,0.00187625
27,234.324,1.38178,0.38195,0,0.84168,2.24983,0.96277,0.99231,0.9803,0.58119,0.96331,0.99615,0.98032,0.92412,1.47038,0.28334,0,0.76491,2.19641,0.0018713,0.0018713,0.0018713
28,243.049,1.4034,0.38452,0,0.84444,2.27102,0.97421,0.99808,0.97811,0.6506,0.97421,0.99808,0.97811,0.95357,1.25513,0.18041,0,0.68201,2.01486,0.00186635,0.00186635,0.00186635
29,251.617,1.40678,0.37899,0,0.83006,2.28686,0.97361,0.99615,0.98222,0.67734,0.97361,0.99615,0.98222,0.9563,1.23114,0.16545,0,0.65741,2.0048,0.0018614,0.0018614,0.0018614
30,260.283,1.36661,0.38266,0,0.83375,2.21972,0.97194,0.99907,0.97965,0.63258,0.97194,0.99907,0.97965,0.94743,1.31331,0.22591,0,0.6518,2.04592,0.00185645,0.00185645,0.00185645
31,268.927,1.36833,0.37175,0,0.79627,2.24142,0.97001,1,0.97933,0.6329,0.97001,1,0.97933,0.95099,1.29576,0.18801,0,0.68029,2.05248,0.0018515,0.0018515,0.0018515
32,277.584,1.38224,0.34657,0,0.79015,2.261,0.97037,0.99808,0.97623,0.59428,0.97224,1,0.97708,0.94915,1.37418,0.1868,0,0.71508,2.10022,0.00184655,0.00184655,0.00184655
33,286.114,1.37375,0.35347,0,0.78918,2.25184,0.97676,0.99808,0.97715,0.6702,0.97676,0.99808,0.97715,0.95648,1.23018,0.16144,0,0.612,2.00085,0.0018416,0.0018416,0.0018416
34,294.614,1.36362,0.3495,0,0.77402,2.22951,0.97364,0.99808,0.9789,0.66241,0.97364,0.99808,0.9789,0.95424,1.24003,0.16997,0,0.62612,2.00357,0.00183665,0.00183665,0.00183665
35,303.175,1.37617,0.36474,0,0.78149,2.23095,0.97205,0.99615,0.97799,0.58521,0.97393,0.99808,0.97943,0.95463,1.50364,0.18228,0,0.65043,2.21581,0.0018317,0.0018317,0.0018317
36,311.817,1.33307,0.32042,0,0.73705,2.18085,0.97537,1,0.9774,0.63868,0.97537,1,0.9774,0.95373,1.30336,0.17325,0,0.60298,2.04745,0.00182675,0.00182675,0.00182675
37,320.304,1.35678,0.34115,0,0.74225,2.22499,0.97318,1,0.97834,0.64854,0.97318,1,0.97834,0.95626,1.26151,0.16224,0,0.60602,2.01398,0.0018218,0.0018218,0.0018218
38,328.825,1.34389,0.33058,0,0.73672,2.20693,0.97378,0.99973,0.97975,0.6589,0.97378,0.99973,0.97975,0.95461,1.2248,0.16256,0,0.62228,1.98403,0.00181685,0.00181685,0.00181685
39,337.525,1.32422,0.31191,0,0.73833,2.19482,0.97391,1,0.97822,0.64235,0.97391,1,0.97822,0.94574,1.25073,0.2102,0,0.59389,2.00206,0.0018119,0.0018119,0.0018119
40,346.053,1.33474,0.31599,0,0.71477,2.2142,0.97592,0.99808,0.97769,0.60588,0.9778,1,0.97851,0.94986,1.4376,0.18624,0,0.61628,2.14548,0.00180695,0.00180695,0.00180695
41,354.583,1.30679,0.28499,0,0.71018,2.16942,0.97483,1,0.9768,0.65012,0.97483,1,0.9768,0.94678,1.22669,0.18796,0,0.6217,1.98131,0.001802,0.001802,0.001802
42,363.03,1.32304,0.30213,0,0.70153,2.21356,0.96617,0.99423,0.96792,0.58178,0.97178,1,0.97509,0.95115,1.43109,0.16356,0,0.60425,2.15638,0.00179705,0.00179705,0.00179705
43,371.893,1.27521,0.3024,0,0.70189,2.15464,0.96879,0.99231,0.97581,0.66999,0.97067,0.99423,0.97739,0.94898,1.20215,0.16415,0,0.57293,1.96647,0.0017921,0.0017921,0.0017921
44,380.432,1.31497,0.29674,0,0.70062,2.18264,0.97555,0.99747,0.97931,0.6084,0.97743,0.99939,0.97965,0.95421,1.36329,0.17156,0,0.58885,2.08838,0.00178715,0.00178715,0.00178715
45,388.947,1.3096,0.30873,0,0.71332,2.17556,0.9706,0.99808,0.98021,0.6757,0.97084,0.99808,0.98038,0.95493,1.23007,0.17128,0,0.56365,1.96373,0.0017822,0.0017822,0.0017822
46,397.621,1.29304,0.27813,0,0.70409,2.1676,0.97709,0.99808,0.97851,0.63693,0.97898,1,0.98013,0.95628,1.32456,0.13952,0,0.56471,2.04986,0.00177725,0.00177725,0.00177725
47,406.371,1.28393,0.29828,0,0.70631,2.15003,0.97993,1,0.98123,0.69642,0.97993,1,0.98123,0.96009,1.16488,0.16754,0,0.55846,1.90644,0.0017723,0.0017723,0.0017723
48,414.819,1.29113,0.29618,0,0.68275,2.18189,0.96681,0.98846,0.96612,0.58542,0.97809,1,0.97925,0.9611,1.47476,0.14375,0,0.58614,2.18349,0.00176735,0.00176735,0.00176735
49,423.288,1.26659,0.28279,0,0.67197,2.14004,0.97578,1,0.9764,0.68288,0.97578,1,0.9764,0.95598,1.16761,0.15458,0,0.53102,1.91387,0.0017624,0.0017624,0.0017624
50,431.834,1.27893,0.28386,0,0.67708,2.17148,0.97368,0.99592,0.98152,0.65761,0.97556,0.99784,0.98178,0.96141,1.24708,0.13675,0,0.59389,2.00025,0.00175745,0.00175745,0.00175745
51,440.543,1.26612,0.28377,0,0.6699,2.15105,0.9781,1,0.98116,0.68195,0.9781,1,0.98116,0.95704,1.22469,0.19212,0,0.52482,1.94509,0.0017525,0.0017525,0.0017525
52,449.122,1.26973,0.28665,0,0.66302,2.12754,0.97717,0.99808,0.98109,0.69262,0.97744,0.99982,0.98109,0.96351,1.19337,0.1428,0,0.51969,1.90986,0.00174755,0.00174755,0.00174755
53,457.666,1.28986,0.27689,0,0.66911,2.16322,0.96255,0.98462,0.96949,0.57434,0.97604,0.99808,0.98501,0.96294,1.54456,0.14433,0,0.57501,2.26141,0.0017426,0.0017426,0.0017426
54,466.102,1.2989,0.29523,0,0.66996,2.17183,0.96941,0.98846,0.96845,0.57311,0.97884,0.99808,0.97709,0.95864,1.50756,0.14209,0,0.60244,2.25301,0.00173765,0.00173765,0.00173765
55,474.546,1.23858,0.2549,0,0.65513,2.12682,0.97835,1,0.98222,0.66383,0.97835,1,0.98222,0.96209,1.23116,0.14049,0,0.51946,1.95152,0.0017327,0.0017327,0.0017327
56,483.055,1.27093,0.26891,0,0.65494,2.16774,0.97902,1,0.97882,0.66489,0.97902,1,0.97882,0.95923,1.25109,0.14048,0,0.52935,1.96613,0.00172775,0.00172775,0.00172775
57,491.649,1.28729,0.26501,0,0.67102,2.15567,0.9781,0.99808,0.97748,0.68473,0.9781,0.99808,0.97748,0.95156,1.16348,0.17702,0,0.5386,1.9057,0.0017228,0.0017228,0.0017228
