epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
29,248.606,1.43846,0.37562,0,0.90391,2.39221,0.97126,0.99423,0.97902,0.62378,0.97733,0.99495,0.98073,0.95596,1.3626,0.1931,0,0.72689,2.11897,0.0018614,0.0018614,0.0018614
30,257.129,1.43553,0.39976,0,0.90942,2.37728,0.96958,0.99038,0.97813,0.55538,0.979,1,0.98198,0.95609,1.47726,0.17865,0,0.76594,2.17864,0.00185645,0.00185645,0.00185645
31,265.693,1.41021,0.3456,0,0.84852,2.34843,0.97733,0.99423,0.98219,0.66248,0.97733,0.99423,0.98219,0.96247,1.26043,0.17011,0,0.68526,1.99655,0.0018515,0.0018515,0.0018515
32,274.112,1.3849,0.34876,0,0.81693,2.34686,0.95785,0.97885,0.97047,0.48859,0.97291,0.99423,0.98531,0.96308,1.78648,0.17769,0,0.79913,2.55094,0.00184655,0.00184655,0.00184655
33,282.535,1.39901,0.36054,0,0.80304,2.35095,0.967,0.99615,0.98189,0.64515,0.97073,1,0.98229,0.95744,1.25929,0.18371,0,0.7188,2.00088,0.0018416,0.0018416,0.0018416
34,290.946,1.40617,0.34357,0,0.82054,2.33011,0.97379,0.99423,0.98318,0.6449,0.97759,0.99808,0.98375,0.96321,1.34626,0.17172,0,0.62718,2.08342,0.00183665,0.00183665,0.00183665
35,299.544,1.41924,0.35903,0,0.80777,2.34442,0.95298,0.98269,0.96644,0.5105,0.96977,1,0.98549,0.96238,1.70305,0.20054,0,0.80064,2.45349,0.0018317,0.0018317,0.0018317
36,308.117,1.33956,0.3152,0,0.74123,2.28518,0.95501,0.99423,0.9775,0.59775,0.96055,1,0.97979,0.95963,1.42027,0.14855,0,0.68733,2.16151,0.00182675,0.00182675,0.00182675
37,316.622,1.3499,0.34332,0,0.76031,2.29503,0.96817,1,0.98254,0.6695,0.96817,1,0.98254,0.94691,1.17303,0.21362,0,0.6592,1.91976,0.0018218,0.0018218,0.0018218
38,325.13,1.32437,0.32483,0,0.72759,2.24645,0.97711,0.99808,0.97809,0.64914,0.97711,0.99808,0.97809,0.95798,1.25746,0.14626,0,0.59831,2.00459,0.00181685,0.00181685,0.00181685
39,333.574,1.35688,0.29631,0,0.74245,2.28483,0.97187,0.99651,0.97883,0.62441,0.97187,0.99651,0.97883,0.96076,1.32041,0.15953,0,0.67129,2.05851,0.0018119,0.0018119,0.0018119
40,342.048,1.37075,0.299,0,0.73108,2.31879,0.95663,0.97885,0.96434,0.54809,0.97732,1,0.97974,0.95603,1.60809,0.19152,0,0.67425,2.40772,0.00180695,0.00180695,0.00180695
41,350.605,1.35311,0.29414,0,0.72443,2.29949,0.9774,0.99805,0.97689,0.66099,0.9774,0.99805,0.97689,0.95701,1.26029,0.14937,0,0.5983,1.99725,0.001802,0.001802,0.001802
42,359.082,1.33881,0.28997,0,0.70685,2.2709,0.9679,0.99231,0.97669,0.58942,0.97541,1,0.98085,0.96205,1.51442,0.16848,0,0.61422,2.22901,0.00179705,0.00179705,0.00179705
43,367.525,1.2885,0.30724,0,0.7039,2.21251,0.96619,0.98934,0.97462,0.59,0.97558,0.99896,0.98103,0.95877,1.45311,0.17184,0,0.617,2.1788,0.0017921,0.0017921,0.0017921
44,375.987,1.35674,0.30515,0,0.71498,2.28129,0.97081,0.99423,0.97502,0.61662,0.97644,1,0.97739,0.96039,1.33862,0.15275,0,0.64263,2.04219,0.00178715,0.00178715,0.00178715
45,384.611,1.33945,0.32671,0,0.73456,2.25112,0.97493,1,0.98158,0.67603,0.97493,1,0.98158,0.96554,1.2456,0.14496,0,0.58292,1.96499,0.0017822,0.0017822,0.0017822
46,393.07,1.32399,0.26939,0,0.70267,2.24106,0.96585,0.98654,0.97749,0.58392,0.97338,0.99423,0.98148,0.96041,1.51731,0.1571,0,0.65775,2.22631,0.00177725,0.00177725,0.00177725
